Id,Designator,Package,Quantity,Description,MPN,Alt
1,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10k resistor,Digikey S10KQCT-ND,
2,"C1,C2",C_Disc_D3.0mm_W2.0mm_P2.50mm,2,18pF ceramic capacitors,Digikey BC1004CT-ND,
3,"C3,C4,C5",C_Disc_D3.0mm_W2.0mm_P2.50mm,3,100nF ceramic capacitors,Digikey BC2665CT-ND,
4,J1,PinHeader_2x03_P2.54mm_Vertical,1,"2x3 .100"" pitch standard header",Digikey 609-3218-ND,
5,Y1,Crystal_HC52-6mm_Vertical,1,Crystal 12 MHz,Digikey CTX904-ND,
6,U1,DIP-28_W7.62mm,1,Atmega328p (or Atmega328),Digikey ATMEGA328-PU-ND,
7,U1,DIP-28_W7.62mm_Socket (optional),1,28 pin DIP socket,Digikey A120353-ND,
8,SW1,SW_PUSH_6mm_H4.3mm,1,Tactile Push Button Switch,Digikey 1977120-2-ND,"Taiss, Part KG-1, Amazon ASIN B0796QL57S"
9,J2,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,JST XH S2B Horizontal,Digikey 455-4226-ND,
10,J3,PinHeader_1x06_P2.54mm_Horizontal,1,6 Pin header Horizontal,Digikey 2057-PH1RB-06-UA-ND,
11,J4,PinHeader Connector 1x06 2.54mm Vertical,1,CONN HDR 6POS 0.1 TIN PCB,Digikey S7004-ND,
12,"J5,J6",PinHeader Connector 1x08 2.54mm Vertical,2,CONN HDR 8POS 0.1 TIN PCB,Digikey S7006-ND,
13,J7,PinHeader Connector 1x10 2.54mm Vertical,1,"10 Position Header Connector 0.100"" (2.54mm) Through Hole Tin",Digikey S7008-ND,
